,Hotel_Name,Avg_Review,Percentage
0,1785 Inn,2.625,52.5
1,1900 House,4.571428571428571,91.42857142857143
2,40 Berkeley Hostel,3.329192546583851,66.58385093167702
3,A Bed & Breakfast In Cambridge,3.574074074074074,71.48148148148148
4,A Swallow's Nest Motel,0.0,0.0
5,Abbeville Inn,0.0,0.0
6,Acorn Motor Inn,3.75,75.0
7,Adobe Nido Bed & Breakfast,0.0,0.0
8,Adria Motor Inn,0.0,0.0
9,Advance Motel,1.0,20.0
10,Agate Beach Motel,4.619047619047619,92.38095238095238
11,Albert's Motel,0.0,0.0
12,Alpine Motel,5.0,100.0
13,Alyssa's Motel,0.0,0.0
14,Ambassador Inn Albuquerque,3.2,64.0
15,Ambassadors Inn and Suites,2.6346153846153846,52.69230769230769
16,Ambiance,0.0,0.0
17,America's Best Value Inn,2.0,40.0
18,American Star Inn and Suites Atlantic City,2.4545454545454546,49.09090909090909
19,Americana Resort Properties,0.0,0.0
20,Americas Best Value Inn,2.7054673721340388,54.10934744268078
21,Americas Best Value Inn - Medical Center/airport,3.6923076923076925,73.84615384615385
22,Americas Best Value Inn and Suites,2.6153846153846154,52.307692307692314
23,Americinn Coralville,3.3727272727272726,67.45454545454545
24,Americinn Lodge & Suites Appleton,3.225806451612903,64.51612903225806
25,Americinn Lodge Suites Austin,4.258064516129032,85.16129032258064
26,Americinn Lodge Suites Oscoda - Ausable River,4.75,95.0
27,Americinn Lodge Suites Princeton,4.74468085106383,94.8936170212766
28,Americinn Lodge and Suites,0.0,0.0
29,Amerihost Inn,0.0,0.0
30,Amisos Hotel,3.75,75.0
31,Anaheim Marriott Suites,4.333090909090909,86.66181818181818
32,Anglers Inn,3.875,77.5
33,Antlers Inn,3.9473684210526314,78.94736842105263
34,Arcola Inn,1.3333333333333333,26.666666666666668
35,Arion,4.475,89.49999999999999
36,Arizona Inn of Prescott Valley,3.126315789473684,62.526315789473685
37,Arrowhead Motel and Rv Park,5.0,100.0
38,Aspen Alps,4.8,96.0
39,Aspen Haus Bed and Breakfast,4.7,94.0
